1,Qvalent's Ultimate,Super Quick,4,0
1,Fatty Boombahs,Push Up Brahs,2,4
1,Team Bryce,Jake's Boys,2,2
2,Team Bryce,Push Up Brahs,1,6
2,Qvalent's Ultimate,Fatty Boombahs,5,0
2,Jake's Boys,Super Quick,1,9
3,Qvalent's Ultimate,Team Bryce,8,4
